date,streetwear,bohemian,pastel,denim,wool coats
2023-01-01,6,26,36,61,1
2023-01-08,6,27,39,64,1
2023-01-15,6,29,39,67,1
2023-01-22,6,27,39,71,1
2023-01-29,6,27,37,76,1
2023-02-05,6,25,41,76,1
2023-02-12,6,28,40,74,1
2023-02-19,7,27,42,80,1
2023-02-26,8,28,43,81,1
2023-03-05,7,26,43,83,1
2023-03-12,7,29,45,86,1
2023-03-19,9,27,45,94,0
2023-03-26,7,29,49,86,0
2023-04-02,6,31,52,88,0
2023-04-09,6,26,44,91,0
2023-04-16,6,29,43,93,0
2023-04-23,5,27,43,99,0
2023-04-30,5,29,40,84,0
2023-05-07,6,27,43,90,0
2023-05-14,5,26,42,88,0
2023-05-21,6,27,41,87,0
2023-05-28,6,29,42,91,0
2023-06-04,5,30,41,88,0
2023-06-11,6,27,42,83,0
2023-06-18,5,28,39,85,0
2023-06-25,7,30,39,93,0
2023-07-02,6,30,38,90,0
2023-07-09,6,30,39,86,0
2023-07-16,6,30,39,95,0
2023-07-23,7,27,39,94,0
2023-07-30,7,26,38,89,0
2023-08-06,6,25,37,90,0
2023-08-13,6,24,36,87,0
2023-08-20,7,21,37,89,1
2023-08-27,6,22,35,87,1
2023-09-03,6,23,34,92,1
2023-09-10,6,21,35,93,1
2023-09-17,6,22,36,98,1
2023-09-24,6,23,35,97,1
2023-10-01,6,21,35,89,1
2023-10-08,6,21,33,91,1
2023-10-15,6,20,33,100,1
2023-10-22,6,20,34,97,2
2023-10-29,5,19,31,84,2
2023-11-05,6,21,33,85,2
2023-11-12,6,21,37,84,2
2023-11-19,8,20,36,92,3
2023-11-26,7,20,34,80,3
2023-12-03,7,21,35,75,3
2023-12-10,7,23,34,73,2
2023-12-17,7,22,33,80,2
2023-12-24,6,26,35,84,2
2023-12-31,6,25,32,88,2
